rule_index,source,destination_raw,destination_decoded,status_code,permanent,query_behavior,contains_non_ascii,contains_percent_encoding,double_encoded,external,source_file
109,/รับซื้อ/รับซื้อ-storage-nas-ร้อยเอ็ด,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
110,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
111,/รับซื้อ/รับซื้อ-hdd-เลย,/รับซื้อ/รับซื้อ-ssd-เลย,/รับซื้อ/รับซื้อ-ssd-เลย,308,true,none,yes,no,no,no,vercel.json
112,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B9%80%E0%B8%A5%E0%B8%A2,/รับซื้อ/รับซื้อ-ssd-เลย,/รับซื้อ/รับซื้อ-ssd-เลย,308,true,none,yes,no,no,no,vercel.json
113,/รับซื้อ/รับซื้อ-gopro-เลย,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
114,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B9%80%E0%B8%A5%E0%B8%A2,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
115,/รับซื้อ/รับซื้อเลนส์-เลย,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
116,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B9%80%E0%B8%A5%E0%B8%A2,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
117,/รับซื้อ/รับซื้อ-storage-nas-เลย,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
118,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B9%80%E0%B8%A5%E0%B8%A2,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
119,/รับซื้อ/รับซื้อ-hdd-ศรีสะเกษ,/รับซื้อ/รับซื้อ-ssd-ศรีสะเกษ,/รับซื้อ/รับซื้อ-ssd-ศรีสะเกษ,308,true,none,yes,no,no,no,vercel.json
120,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AA%E0%B8%B0%E0%B9%80%E0%B8%81%E0%B8%A9,/รับซื้อ/รับซื้อ-ssd-ศรีสะเกษ,/รับซื้อ/รับซื้อ-ssd-ศรีสะเกษ,308,true,none,yes,no,no,no,vercel.json
121,/รับซื้อ/รับซื้อ-gopro-ศรีสะเกษ,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
