url,page_type,group_id,service_slug,province,visible_main_text_words,h1,indexable,sitemap,inbound_links,trust_issue,in_audit,in_batch11
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","อุบลราชธานี","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง อุบลราชธานี ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","กาฬสินธุ์","232","รับซื้อ โดรนและกล้อง Action Cam กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","ขอนแก่น","226","รับซื้อ โดรนและกล้อง Action Cam ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","ชัยภูมิ","229","รับซื้อ โดรนและกล้อง Action Cam ชัยภูมิ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-นครพนม","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","นครพนม","226","รับซื้อ โดรนและกล้อง Action Cam นครพนม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-นครราชสีมา","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","นครราชสีมา","232","รับซื้อ โดรนและกล้อง Action Cam นครราชสีมา ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-บึงกาฬ","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","บึงกาฬ","229","รับซื้อ โดรนและกล้อง Action Cam บึงกาฬ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","บุรีรัมย์","229","รับซื้อ โดรนและกล้อง Action Cam บุรีรัมย์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-มหาสารคาม","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","มหาสารคาม","226","รับซื้อ โดรนและกล้อง Action Cam มหาสารคาม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-มุกดาหาร","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","มุกดาหาร","229","รับซื้อ โดรนและกล้อง Action Cam มุกดาหาร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-ยโสธร","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","ยโสธร","226","รับซื้อ โดรนและกล้อง Action Cam ยโสธร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-ร้อยเอ็ด","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","ร้อยเอ็ด","229","รับซื้อ โดรนและกล้อง Action Cam ร้อยเอ็ด ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-เลย","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","เลย","226","รับซื้อ โดรนและกล้อง Action Cam เลย ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อโดรน-ศรีสะเกษ","service-x-location","G-SA-รับซื้อโดรน","รับซื้อโดรน","ศรีสะเกษ","232","รับซื้อ โดรนและกล้อง Action Cam ศรีสะเกษ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
