rule_id,source,source_variant,existing_destination,resolved_final_target,www_destination,host,status_code_phase_a,status_code_phase_b,preserve_query,rule_order,generated_from,included,exclusion_reason
WWW-R0197,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,197,R0197,yes,
WWW-R0198,/รับซื้อ/รับซื้อของสะสม-มหาสารคาม,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,198,R0198,yes,
WWW-R0199,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B2%E0%B8%A1,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,199,R0199,yes,
WWW-R0200,/รับซื้อ/รับซื้อของสะสม-มุกดาหาร,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,200,R0200,yes,
WWW-R0201,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,201,R0201,yes,
WWW-R0202,/รับซื้อ/รับซื้อของสะสม-ยโสธร,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,202,R0202,yes,
WWW-R0203,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,203,R0203,yes,
WWW-R0204,/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,204,R0204,yes,
WWW-R0205,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%94,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,205,R0205,yes,
WWW-R0206,/รับซื้อ/รับซื้อของสะสม-เลย,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,206,R0206,yes,
WWW-R0207,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B9%80%E0%B8%A5%E0%B8%A2,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,207,R0207,yes,
WWW-R0208,/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,208,R0208,yes,
