source,source_variant,current_destination,intermediate_targets,final_target,redirect_hops_apex_https,final_status,final_host,final_scheme,self_canonical,indexable,query_preservation_expected,safe_for_www_direct_rule,reason
/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/รับซื้อ/รับซื้อของสะสม-บึงกาฬ,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/รับซื้อ/รับซื้อของสะสม-มหาสารคาม,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B2%E0%B8%A1,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/รับซื้อ/รับซื้อของสะสม-มุกดาหาร,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
/รับซื้อ/รับซื้อของสะสม-ยโสธร,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,1,ASSUMED_200_PENDING_PROD,amphon.co.th,https,ASSUMED,ASSUMED,yes,yes,ok
