source_url,source_file,text_before,text_after,link_destination,anchor,semantic_change,reason,status
"/รับซื้อ/รับซื้อ-airpods-ศรีสะเกษ","","(no link)","รับซื้อ โน๊ตบุ๊ค ในศรีสะเกษ","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-ศรีสะเกษ","รับซื้อ โน๊ตบุ๊ค ในศรีสะเกษ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ศรีสะเกษ","","(no link)","รับซื้อ MacBook ในศรีสะเกษ","/รับซื้อ/รับซื้อ-macbook-ศรีสะเกษ","รับซื้อ MacBook ในศรีสะเกษ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ศรีสะเกษ","","(no link)","รับซื้อ คอมพิวเตอร์ ในศรีสะเกษ","/รับซื้อ/รับซื้อคอมพิวเตอร์-ศรีสะเกษ","รับซื้อ คอมพิวเตอร์ ในศรีสะเกษ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-ศรีสะเกษ","","(no link)","รับซื้อ iPhone ในศรีสะเกษ","/รับซื้อ/รับซื้อ-iphone-ศรีสะเกษ","รับซื้อ iPhone ในศรีสะเกษ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สกลนคร","","(no link)","รับซื้อ โน๊ตบุ๊ค ในสกลนคร","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-สกลนคร","รับซื้อ โน๊ตบุ๊ค ในสกลนคร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สกลนคร","","(no link)","รับซื้อ MacBook ในสกลนคร","/รับซื้อ/รับซื้อ-macbook-สกลนคร","รับซื้อ MacBook ในสกลนคร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สกลนคร","","(no link)","รับซื้อ คอมพิวเตอร์ ในสกลนคร","/รับซื้อ/รับซื้อคอมพิวเตอร์-สกลนคร","รับซื้อ คอมพิวเตอร์ ในสกลนคร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สกลนคร","","(no link)","รับซื้อ iPhone ในสกลนคร","/รับซื้อ/รับซื้อ-iphone-สกลนคร","รับซื้อ iPhone ในสกลนคร","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สุรินทร์","","(no link)","รับซื้อ โน๊ตบุ๊ค ในสุรินทร์","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-สุรินทร์","รับซื้อ โน๊ตบุ๊ค ในสุรินทร์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-สุรินทร์","","(no link)","รับซื้อ MacBook ในสุรินทร์","/รับซื้อ/รับซื้อ-macbook-สุรินทร์","รับซื้อ MacBook ในสุรินทร์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
