url,source_file,page_type,indexable,canonical,sitemap,inbound_links,unique_inbound_sources,outbound_links,unique_outbound_targets,click_depth,breadcrumb_links,navigation_links,footer_links,contextual_links,related_content_links,thin_content_flag,cannibalization_cluster,priority_class,status
"/บริการ/รับซื้อ-ipad-mini","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad-mini","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-ipad-pro","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad-pro","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-ipad-จอแตก","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad-จอแตก","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-ipad-เสีย","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-ipad-เสีย","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone","yes","1186","1186","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-13","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-13","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-14","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-14","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-15","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-15","yes","12","12","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-16","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-16","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-17","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-17","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-face-id-เสีย","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-face-id-เสีย","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-pro-max","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-pro-max","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-จอแตก","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-จอแตก","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-ติด-icloud","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-ติด-icloud","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-iphone-เครื่องนอก","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-iphone-เครื่องนอก","yes","11","11","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-jbl","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-jbl","yes","32","32","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-lenovo-ideapad","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-lenovo-ideapad","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-lenovo-legion","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-lenovo-legion","yes","48","48","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-lenovo-loq","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-lenovo-loq","yes","27","27","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-lenovo-thinkpad","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-lenovo-thinkpad","yes","23","23","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-mac-mini","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-mac-mini","yes","37","37","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook","yes","1186","1186","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-air","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-air","yes","18","18","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-intel","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-intel","yes","19","19","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-m1","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-m1","yes","16","16","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-m2","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-m2","yes","17","17","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-m3-m4","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-m3-m4","yes","16","16","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-pro","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-pro","yes","17","17","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-จอแตก","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-จอแตก","yes","16","16","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-macbook-เสีย","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-macbook-เสีย","yes","18","18","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-magic-keyboard-ipad","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-magic-keyboard-ipad","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
